Продукт,Калорийность,Белки,Жиры,Углеводы
"Хлеб, из цельного зерна, приготовленный по рецепту, тосты",305 кКал,305 кКал,305 кКал,305 кКал
"Хлеб, кукурузная мука, сухая смесь, обогащенный",418 кКал,418 кКал,418 кКал,418 кКал
"Хлеб, лаваш, белый, необогащенный",275 кКал,275 кКал,275 кКал,275 кКал
"Хлеб, молотая пшеница",260 кКал,260 кКал,260 кКал,260 кКал
"Хлеб, с изюмом, необогащенный",274 кКал,274 кКал,274 кКал,274 кКал
"Хлеб, французский или венский (на закваске)",272 кКал,272 кКал,272 кКал,272 кКал
"Хлеб, французский или венский, тосты (на закваске)",319 кКал,319 кКал,319 кКал,319 кКал
"Хлебные палочки, простые",412 кКал,412 кКал,412 кКал,412 кКал
"Хлебные сухарики, кукурузная мука, приготовленный из сухой смеси",179 кКал,179 кКал,179 кКал,179 кКал
"Хлебные сухарики, кукурузная мука, сухая смесь",389 кКал,389 кКал,389 кКал,389 кКал
"Хлебные сухарики, хлеб из сухой смеси",386 кКал,386 кКал,386 кКал,386 кКал
"Хлебные сухарики, хлеб приготовленный из сухой смеси",195 кКал,195 кКал,195 кКал,195 кКал
Хлебцы докторские (мука в/с и отруби пшеничные),242 кКал,242 кКал,242 кКал,242 кКал
Шоколадный пирог с шоколадной глазурью,389 кКал,389 кКал,389 кКал,389 кКал
"Шоколадный пирог, приготовленный по рецепту без глазури",371 кКал,371 кКал,371 кКал,371 кКал
"Шоколадный пирог, сухая смесь, пудинг",391 кКал,391 кКал,391 кКал,391 кКал
Яичные рогалики,278 кКал,278 кКал,278 кКал,278 кКал
Яичный хлеб,287 кКал,287 кКал,287 кКал,287 кКал
"Яичный хлеб, тосты",315 кКал,315 кКал,315 кКал,315 кКал
