Продукт,Калорийность,Белки,Жиры,Углеводы
"Пахта 1% жирности, пастеризованная",41 кКал,41 кКал,41 кКал,41 кКал
"Пахта 1% жирности, сквашенная",40 кКал,40 кКал,40 кКал,40 кКал
Пахта 2% жирности,56 кКал,56 кКал,56 кКал,56 кКал
"Пахта 3,3% жирности",62 кКал,62 кКал,62 кКал,62 кКал
Пахта сухая,387 кКал,387 кКал,387 кКал,387 кКал
"Пищевая добавка для больных диабетом,  жидкая",88 кКал,88 кКал,88 кКал,88 кКал
Простокваша 1%,40 кКал,40 кКал,40 кКал,40 кКал
"Простокваша 2,5% жирности",53 кКал,53 кКал,53 кКал,53 кКал
"Простокваша 2,5% жирности, «Цитрусовая»",76 кКал,76 кКал,76 кКал,76 кКал
"Простокваша 3,2% жирности",59 кКал,59 кКал,59 кКал,59 кКал
"Простокваша 4,0% жирности «Мечниковская»",66 кКал,66 кКал,66 кКал,66 кКал
Простокваша обезжиренная,30 кКал,30 кКал,30 кКал,30 кКал
Простокваша цитрусовая 1%,63 кКал,63 кКал,63 кКал,63 кКал
"Пудинг из творога 9%-ного, по 1-334",224 кКал,224 кКал,224 кКал,224 кКал
"Ряженка 2,5% жирности",54 кКал,54 кКал,54 кКал,54 кКал
"Ряженка 4,0% жирности",67 кКал,67 кКал,67 кКал,67 кКал
"Ряженка 6,0% жирности",85 кКал,85 кКал,85 кКал,85 кКал
"Ряженка, 1%",40 кКал,40 кКал,40 кКал,40 кКал
"Сливки 1,4% жирности, с молоком",59 кКал,59 кКал,59 кКал,59 кКал
"Сливки 10% жирности, пастеризованные",119 кКал,119 кКал,119 кКал,119 кКал
Сливки 10% жирности. стерилизованные,119 кКал,119 кКал,119 кКал,119 кКал
"Сливки 11,5% жирности, с молоком",131 кКал,131 кКал,131 кКал,131 кКал
Сливки 19% жирности,195 кКал,195 кКал,195 кКал,195 кКал
"Сливки 20% жирности, пастеризованные",207 кКал,207 кКал,207 кКал,207 кКал
"Сливки 25% жирности, стерилизованные",251 кКал,251 кКал,251 кКал,251 кКал
Сливки 31% жирности,292 кКал,292 кКал,292 кКал,292 кКал
"Сливки 35% жирности, пастеризованные",337 кКал,337 кКал,337 кКал,337 кКал
Сливки 36% жирности,340 кКал,340 кКал,340 кКал,340 кКал
"Сливки 5% жирности, с молоком",72 кКал,72 кКал,72 кКал,72 кКал
"Сливки 8% жирности, пастеризованные",102 кКал,102 кКал,102 кКал,102 кКал
"Сливки взбитые 13% жирности, замороженные",224 кКал,224 кКал,224 кКал,224 кКал
Сливки взбитые 22% жирности в аэрозольном балончике,257 кКал,257 кКал,257 кКал,257 кКал
"Сливки взбитые 27% жирности,  плодово-ягодные",344 кКал,344 кКал,344 кКал,344 кКал
"Сливки взбитые 27% жирности, шоколадные",337 кКал,337 кКал,337 кКал,337 кКал
"Сливки взбитые 28% жирности, ванильные",346 кКал,346 кКал,346 кКал,346 кКал
Сливки взбитые обезжиренные 5% жирности Reddi Wip,149 кКал,149 кКал,149 кКал,149 кКал
"Сливки сгущенные с сахаром, 19% жирности",392 кКал,392 кКал,392 кКал,392 кКал
"Сливки сухие 42,0% жирности",577 кКал,577 кКал,577 кКал,577 кКал
"Сметана 10,6% жирности",136 кКал,136 кКал,136 кКал,136 кКал
Сметана 10% жирности,119 кКал,119 кКал,119 кКал,119 кКал
Сметана 10% жирности «Домашняя»,130 кКал,130 кКал,130 кКал,130 кКал
